Id,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
55,2,2,3,2,3,1,2,1,1,building_windows_float_processed
56,2,2,3,2,3,1,2,1,2,building_windows_float_processed
57,1,2,4,2,3,1,2,1,3,building_windows_float_processed
58,2,2,4,2,3,1,2,1,1,building_windows_float_processed
59,2,2,4,2,3,1,1,1,1,building_windows_float_processed
60,2,2,4,2,3,1,2,1,1,building_windows_float_processed
61,2,2,4,2,3,1,2,1,1,building_windows_float_processed
62,2,2,4,2,2,1,2,1,1,building_windows_float_processed
63,2,2,4,1,2,1,2,1,1,building_windows_float_processed
64,2,3,4,1,2,1,2,1,1,building_windows_float_processed
65,2,2,4,1,2,1,2,1,1,building_windows_float_processed
66,2,2,4,2,2,1,2,1,1,building_windows_float_processed
67,2,2,4,1,2,1,2,1,2,building_windows_float_processed
68,2,2,4,1,2,1,2,1,2,building_windows_float_processed
69,2,2,4,1,2,1,2,1,2,building_windows_float_processed
70,3,2,4,1,2,1,2,1,1,building_windows_float_processed
71,1,3,4,2,2,1,1,1,2,building_windows_non_float_processed
72,2,2,4,2,2,1,2,1,3,building_windows_non_float_processed
73,1,2,4,2,3,1,1,1,1,building_windows_non_float_processed
74,1,2,4,2,3,1,1,1,1,building_windows_non_float_processed
75,1,2,4,2,3,1,1,1,1,building_windows_non_float_processed
76,1,2,4,2,3,1,1,1,1,building_windows_non_float_processed
77,1,2,4,2,2,1,1,1,1,building_windows_non_float_processed
78,1,2,4,2,3,1,1,1,1,building_windows_non_float_processed
79,1,2,4,2,3,1,1,1,2,building_windows_non_float_processed
80,1,2,4,3,3,1,1,1,1,building_windows_non_float_processed
81,1,2,4,3,3,1,1,1,1,building_windows_non_float_processed
82,1,2,4,2,3,1,1,1,1,building_windows_non_float_processed
83,1,2,4,2,3,1,1,1,1,building_windows_non_float_processed
84,1,2,4,2,3,1,1,1,1,building_windows_non_float_processed
85,1,3,3,3,2,1,1,1,1,building_windows_non_float_processed
86,1,2,4,2,3,1,2,1,1,building_windows_non_float_processed
87,1,2,4,2,3,1,1,1,1,building_windows_non_float_processed
88,1,2,4,2,3,1,1,1,1,building_windows_non_float_processed
89,1,2,4,2,3,1,2,1,1,building_windows_non_float_processed
90,1,2,4,2,3,1,1,1,1,building_windows_non_float_processed
91,2,2,4,2,2,1,2,1,2,building_windows_non_float_processed
92,1,2,4,2,3,1,2,1,1,building_windows_non_float_processed
93,1,2,4,2,3,1,2,1,2,building_windows_non_float_processed
94,1,2,3,2,3,1,2,1,1,building_windows_non_float_processed
95,1,2,3,2,3,1,2,1,1,building_windows_non_float_processed
96,2,2,4,2,2,1,2,1,1,building_windows_non_float_processed
97,2,2,4,1,2,1,2,1,2,building_windows_non_float_processed
98,2,1,3,2,3,1,2,1,2,building_windows_non_float_processed
99,2,2,3,2,3,1,2,1,1,building_windows_non_float_processed
100,2,2,3,2,3,1,2,1,1,building_windows_non_float_processed
101,1,2,3,2,3,1,2,1,2,building_windows_non_float_processed
102,2,1,3,2,3,1,2,1,1,building_windows_non_float_processed
103,2,2,3,1,3,1,2,1,2,building_windows_non_float_processed
104,3,2,3,1,1,1,3,1,1,building_windows_non_float_processed
105,3,2,3,2,1,1,2,1,1,building_windows_non_float_processed
106,3,1,1,2,2,1,3,1,3,building_windows_non_float_processed
107,4,1,1,3,1,1,3,4,3,building_windows_non_float_processed
108,4,1,1,1,1,1,4,1,2,building_windows_non_float_processed
109,2,3,1,1,3,1,3,1,1,building_windows_non_float_processed
110,2,2,1,1,4,1,3,1,1,building_windows_non_float_processed
111,3,1,1,1,3,1,4,1,1,building_windows_non_float_processed
112,3,1,1,1,3,1,4,1,1,building_windows_non_float_processed
113,3,2,1,1,2,1,4,1,1,building_windows_non_float_processed
114,2,2,4,2,2,1,2,1,2,building_windows_non_float_processed
115,2,2,4,2,2,1,2,1,1,building_windows_non_float_processed
116,2,2,4,2,2,1,2,1,1,building_windows_non_float_processed
117,2,2,4,2,2,1,2,1,1,building_windows_non_float_processed
118,2,2,4,2,2,1,1,1,1,building_windows_non_float_processed
119,1,2,4,2,2,1,1,1,3,building_windows_non_float_processed
120,1,2,4,2,2,1,1,1,1,building_windows_non_float_processed
121,2,2,4,2,2,1,2,1,1,building_windows_non_float_processed
122,1,2,4,2,3,1,1,1,2,building_windows_non_float_processed
123,2,2,4,2,3,1,1,1,1,building_windows_non_float_processed
124,2,2,4,2,2,1,1,1,1,building_windows_non_float_processed
125,2,2,4,2,3,1,2,1,1,building_windows_non_float_processed
126,2,2,4,2,2,1,2,1,2,building_windows_non_float_processed
127,1,2,4,2,3,1,2,1,1,building_windows_non_float_processed
128,2,2,3,2,2,1,2,1,2,building_windows_non_float_processed
129,2,2,2,2,2,1,2,1,2,building_windows_non_float_processed
130,2,2,2,2,2,1,2,1,2,building_windows_non_float_processed
131,2,2,1,2,2,1,3,1,1,building_windows_non_float_processed
132,3,2,1,2,2,1,3,1,1,building_windows_non_float_processed
133,2,2,4,2,2,1,2,1,1,building_windows_non_float_processed
134,2,2,4,2,2,1,2,1,2,building_windows_non_float_processed
135,2,2,4,2,3,1,2,1,1,building_windows_non_float_processed
136,2,2,4,2,2,1,2,1,3,building_windows_non_float_processed
137,2,2,4,1,3,1,2,1,2,building_windows_non_float_processed
138,2,2,4,2,3,1,1,1,1,building_windows_non_float_processed
139,1,2,4,2,3,1,1,1,1,building_windows_non_float_processed
140,1,2,4,2,3,1,1,1,1,building_windows_non_float_processed
141,2,2,4,2,2,1,1,1,1,building_windows_non_float_processed
142,2,2,4,1,3,1,2,1,2,building_windows_non_float_processed
143,1,2,4,2,3,1,2,1,2,building_windows_non_float_processed
144,2,2,4,2,3,1,2,1,1,building_windows_non_float_processed
145,1,2,3,2,3,1,2,1,2,building_windows_non_float_processed
146,2,2,4,2,2,1,2,1,3,building_windows_non_float_processed
147,2,2,4,2,3,1,2,1,1,vehicle_windows_float_processed
148,1,2,4,2,3,1,2,1,1,vehicle_windows_float_processed
149,1,2,4,2,3,1,2,1,1,vehicle_windows_float_processed
150,1,1,4,2,3,1,2,1,1,vehicle_windows_float_processed
151,1,2,4,2,2,1,2,1,2,vehicle_windows_float_processed
152,2,3,4,1,2,1,2,1,1,vehicle_windows_float_processed
153,2,2,4,1,3,1,2,1,1,vehicle_windows_float_processed
154,1,2,4,2,3,1,2,1,1,vehicle_windows_float_processed
155,2,2,4,2,2,1,2,1,1,vehicle_windows_float_processed
156,1,2,4,2,3,1,2,1,1,vehicle_windows_float_processed
157,1,2,4,2,3,1,2,1,1,vehicle_windows_float_processed
158,2,2,4,1,2,1,2,1,1,vehicle_windows_float_processed
159,2,2,4,2,2,1,2,1,1,vehicle_windows_float_processed
160,2,2,3,2,2,1,2,1,1,vehicle_windows_float_processed
161,2,2,3,2,2,1,2,1,1,vehicle_windows_float_processed
162,2,2,4,1,3,1,2,1,2,vehicle_windows_float_processed
163,2,3,4,1,2,1,2,1,3,vehicle_windows_float_processed
164,1,2,3,4,1,2,1,3,1,containers
165,2,2,2,2,3,1,2,1,1,containers
166,2,1,2,2,3,1,3,1,1,containers
167,2,1,2,2,3,1,3,1,1,containers
168,2,2,1,2,3,1,3,1,1,containers
169,1,2,1,2,3,1,2,1,1,containers
170,2,2,1,2,3,1,3,1,1,containers
171,3,2,1,2,2,1,3,1,1,containers
172,1,2,1,4,1,4,1,1,1,containers
173,1,2,1,4,1,4,1,1,1,containers
174,2,2,1,2,2,1,3,1,1,containers
175,2,2,2,3,2,1,2,1,4,containers
176,2,2,1,2,3,1,3,1,3,containers
177,2,2,3,2,2,1,2,1,1,tableware
178,2,2,3,2,3,1,2,1,1,tableware
179,2,3,2,2,2,1,2,1,1,tableware
180,2,3,2,2,3,1,2,1,1,tableware
181,1,3,2,2,4,1,1,1,1,tableware
182,2,3,1,2,2,1,2,1,1,tableware
183,2,3,1,3,3,1,3,1,1,tableware
184,2,3,1,1,3,1,3,1,1,tableware
185,1,4,1,1,4,1,1,1,1,tableware
186,1,2,3,2,3,2,1,2,1,headlamps
187,2,3,3,3,2,1,1,3,1,headlamps
188,3,2,3,2,2,1,2,1,1,headlamps
189,2,3,2,3,1,1,2,1,1,headlamps
190,3,4,2,2,1,1,2,3,1,headlamps
191,1,2,2,2,3,1,2,1,1,headlamps
192,1,3,1,3,3,1,2,1,1,headlamps
193,1,3,1,4,3,1,2,1,1,headlamps
194,2,3,1,3,3,1,2,3,1,headlamps
195,1,3,1,3,3,1,2,2,1,headlamps
196,1,3,1,3,3,1,2,1,1,headlamps
197,1,2,1,3,3,1,2,2,1,headlamps
198,2,3,1,3,3,1,2,1,1,headlamps
199,1,3,1,3,3,1,2,1,1,headlamps
200,1,3,1,3,3,1,2,1,1,headlamps
201,1,3,1,3,3,1,2,1,1,headlamps
202,1,1,1,2,4,2,2,1,1,headlamps
203,1,3,1,3,3,1,2,1,1,headlamps
204,1,3,1,3,3,1,2,3,1,headlamps
205,1,3,1,3,3,1,2,1,1,headlamps
206,2,3,1,2,3,1,2,2,1,headlamps
207,1,3,1,2,3,1,2,2,1,headlamps
208,2,3,1,2,3,1,1,4,1,headlamps
209,1,3,1,4,3,1,2,1,1,headlamps
210,1,3,1,4,2,1,2,2,1,headlamps
211,2,3,1,3,3,1,2,3,1,headlamps
212,2,3,1,3,3,1,2,3,1,headlamps
213,1,3,1,3,3,1,2,2,1,headlamps
214,2,3,1,3,3,1,2,3,1,headlamps
