Id,Ca,Si,Type
89,low,medium,building_windows_non_float_processed
90,low,medium,building_windows_non_float_processed
91,medium,medium,containers
92,low,medium,building_windows_non_float_processed
93,low,medium,headlamps
94,low,medium,building_windows_float_processed
95,medium,medium,containers
96,low,medium,building_windows_float_processed
97,low,medium,building_windows_non_float_processed
98,medium,medium,tableware
99,high,medium,building_windows_non_float_processed
100,medium,medium,containers
101,medium,low,building_windows_float_processed
102,low,medium,headlamps
103,low,medium,building_windows_float_processed
104,low,medium,building_windows_float_processed
105,low,medium,building_windows_float_processed
106,low,medium,building_windows_float_processed
107,low,medium,building_windows_non_float_processed
108,medium,medium,headlamps
109,low,medium,headlamps
110,low,high,headlamps
111,low,medium,building_windows_float_processed
112,low,medium,building_windows_non_float_processed
113,medium,medium,headlamps
114,low,medium,headlamps
115,low,medium,building_windows_non_float_processed
116,low,medium,headlamps
117,high,low,building_windows_non_float_processed
118,low,medium,building_windows_float_processed
119,low,medium,building_windows_non_float_processed
120,low,medium,building_windows_float_processed
121,low,low,headlamps
122,high,low,building_windows_non_float_processed
123,low,medium,vehicle_windows_float_processed
124,medium,medium,building_windows_non_float_processed
125,low,medium,building_windows_float_processed
126,low,medium,building_windows_non_float_processed
127,low,medium,building_windows_non_float_processed
128,low,medium,building_windows_float_processed
129,low,medium,building_windows_non_float_processed
130,medium,medium,containers
131,low,medium,building_windows_non_float_processed
132,low,medium,building_windows_non_float_processed
133,low,medium,headlamps
134,low,medium,building_windows_non_float_processed
135,low,medium,vehicle_windows_float_processed
136,low,medium,building_windows_non_float_processed
137,low,medium,headlamps
138,low,medium,vehicle_windows_float_processed
139,low,medium,building_windows_non_float_processed
140,low,medium,building_windows_non_float_processed
141,medium,medium,tableware
142,low,low,containers
143,low,medium,headlamps
144,low,medium,headlamps
145,low,medium,building_windows_non_float_processed
146,low,medium,headlamps
147,medium,medium,building_windows_float_processed
148,low,medium,building_windows_float_processed
149,low,medium,building_windows_float_processed
150,low,medium,building_windows_float_processed
151,low,medium,building_windows_non_float_processed
152,low,medium,building_windows_non_float_processed
153,low,medium,building_windows_non_float_processed
154,low,medium,building_windows_non_float_processed
155,low,medium,building_windows_non_float_processed
156,low,medium,building_windows_non_float_processed
157,medium,medium,containers
158,low,medium,building_windows_float_processed
159,low,medium,building_windows_non_float_processed
160,medium,medium,tableware
161,low,medium,building_windows_float_processed
162,low,medium,vehicle_windows_float_processed
163,low,low,containers
164,low,medium,building_windows_float_processed
165,low,medium,building_windows_non_float_processed
166,low,medium,vehicle_windows_float_processed
167,medium,medium,building_windows_non_float_processed
168,medium,medium,building_windows_float_processed
169,low,medium,vehicle_windows_float_processed
170,low,medium,building_windows_non_float_processed
171,low,medium,headlamps
172,medium,medium,building_windows_float_processed
173,medium,medium,building_windows_non_float_processed
174,low,high,headlamps
175,low,medium,building_windows_non_float_processed
176,medium,medium,tableware
177,medium,medium,building_windows_float_processed
178,low,medium,headlamps
179,medium,medium,containers
180,low,medium,building_windows_non_float_processed
181,low,high,tableware
182,medium,medium,tableware
183,medium,medium,tableware
184,low,medium,building_windows_non_float_processed
185,low,medium,building_windows_float_processed
186,low,medium,building_windows_float_processed
187,low,medium,building_windows_non_float_processed
188,low,medium,building_windows_float_processed
189,low,medium,building_windows_float_processed
190,low,medium,building_windows_float_processed
191,low,medium,building_windows_non_float_processed
192,low,medium,headlamps
193,medium,medium,tableware
194,low,medium,building_windows_float_processed
195,medium,medium,containers
196,low,medium,building_windows_non_float_processed
197,low,medium,building_windows_float_processed
198,medium,medium,building_windows_float_processed
199,low,medium,building_windows_float_processed
200,low,medium,building_windows_non_float_processed
201,low,medium,building_windows_float_processed
202,medium,high,building_windows_non_float_processed
203,medium,medium,building_windows_float_processed
204,low,medium,building_windows_non_float_processed
205,low,medium,building_windows_float_processed
206,low,medium,building_windows_non_float_processed
207,low,medium,building_windows_float_processed
208,low,medium,building_windows_float_processed
209,low,medium,building_windows_float_processed
210,low,medium,building_windows_non_float_processed
211,medium,medium,headlamps
212,low,medium,building_windows_float_processed
213,low,medium,building_windows_non_float_processed
214,low,medium,building_windows_non_float_processed
