Id,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
37,2,3,4,2,2,1,2,1,1,building_windows_float_processed
38,2,2,4,2,3,1,2,1,1,building_windows_float_processed
39,3,3,5,1,2,1,2,1,1,building_windows_float_processed
40,3,3,5,1,2,1,2,1,1,building_windows_float_processed
41,2,2,4,2,3,1,2,1,1,building_windows_float_processed
42,2,2,4,2,4,1,2,1,1,building_windows_float_processed
43,2,2,4,2,3,1,2,1,1,building_windows_float_processed
44,3,3,5,1,2,1,3,1,1,building_windows_float_processed
45,2,2,4,2,3,1,2,1,3,building_windows_float_processed
46,2,3,4,2,2,1,2,1,1,building_windows_float_processed
47,2,2,4,2,3,1,2,1,2,building_windows_float_processed
48,4,3,5,1,2,1,3,1,2,building_windows_float_processed
49,3,2,5,1,2,1,3,1,1,building_windows_float_processed
50,2,3,4,2,3,1,2,1,1,building_windows_float_processed
51,3,3,5,1,2,1,3,1,2,building_windows_float_processed
52,2,2,4,2,3,1,2,1,2,building_windows_float_processed
53,2,3,4,2,3,1,2,1,1,building_windows_float_processed
54,2,2,4,2,3,1,2,1,1,building_windows_float_processed
55,2,2,4,2,3,1,2,1,1,building_windows_float_processed
56,2,2,4,2,4,1,2,1,3,building_windows_float_processed
57,1,2,4,2,3,1,2,1,3,building_windows_float_processed
58,2,2,4,2,3,1,2,1,1,building_windows_float_processed
59,2,3,5,2,3,1,2,1,1,building_windows_float_processed
60,2,3,5,2,3,1,2,1,2,building_windows_float_processed
61,2,3,5,2,3,1,2,1,1,building_windows_float_processed
62,2,3,4,2,2,1,2,2,1,building_windows_float_processed
63,3,3,5,1,2,1,2,1,2,building_windows_float_processed
64,3,3,5,1,2,1,2,1,1,building_windows_float_processed
65,3,3,5,1,2,1,2,1,1,building_windows_float_processed
66,3,3,4,2,2,1,2,1,1,building_windows_float_processed
67,3,2,5,1,3,1,3,1,2,building_windows_float_processed
68,3,2,5,1,3,1,3,1,2,building_windows_float_processed
69,3,2,4,1,3,1,3,1,2,building_windows_float_processed
70,3,2,4,1,2,1,3,1,1,building_windows_float_processed
71,2,4,5,3,2,1,1,1,2,building_windows_non_float_processed
72,2,3,5,2,2,1,2,1,4,building_windows_non_float_processed
73,2,2,4,2,3,1,2,1,1,building_windows_non_float_processed
74,2,2,4,2,3,1,2,1,1,building_windows_non_float_processed
75,2,2,4,2,3,1,2,1,1,building_windows_non_float_processed
76,2,2,4,2,3,1,2,1,1,building_windows_non_float_processed
77,2,3,5,2,3,1,2,1,1,building_windows_non_float_processed
78,2,2,4,2,3,1,2,1,1,building_windows_non_float_processed
79,2,3,4,2,3,1,2,1,2,building_windows_non_float_processed
80,2,2,4,3,3,1,2,1,1,building_windows_non_float_processed
81,2,2,4,3,3,1,2,1,1,building_windows_non_float_processed
82,2,2,4,2,3,1,2,1,1,building_windows_non_float_processed
83,2,3,4,2,3,1,2,1,1,building_windows_non_float_processed
84,2,2,4,2,3,1,2,1,1,building_windows_non_float_processed
85,1,3,4,3,3,1,1,1,1,building_windows_non_float_processed
86,2,2,4,2,3,1,2,1,1,building_windows_non_float_processed
87,1,2,4,2,4,1,2,1,1,building_windows_non_float_processed
88,2,3,4,2,3,1,2,1,2,building_windows_non_float_processed
89,2,2,4,2,3,1,2,1,1,building_windows_non_float_processed
90,2,2,4,3,4,1,2,1,1,building_windows_non_float_processed
91,2,2,5,2,3,1,2,1,3,building_windows_non_float_processed
92,2,2,4,2,3,1,2,1,1,building_windows_non_float_processed
93,2,2,4,3,4,1,2,1,2,building_windows_non_float_processed
94,2,2,4,2,3,1,2,1,1,building_windows_non_float_processed
95,2,2,4,2,4,1,2,1,1,building_windows_non_float_processed
96,2,2,4,2,3,1,2,1,1,building_windows_non_float_processed
97,2,2,5,2,3,1,2,1,2,building_windows_non_float_processed
98,2,2,4,2,4,1,2,1,3,building_windows_non_float_processed
99,2,2,4,3,4,1,2,1,1,building_windows_non_float_processed
100,2,2,4,2,3,1,2,1,1,building_windows_non_float_processed
101,2,2,4,2,4,1,2,1,3,building_windows_non_float_processed
102,2,2,4,3,3,1,2,1,1,building_windows_non_float_processed
103,2,2,4,1,4,1,2,1,2,building_windows_non_float_processed
104,4,3,4,1,1,1,3,1,1,building_windows_non_float_processed
105,3,3,4,2,2,1,3,1,1,building_windows_non_float_processed
106,3,1,1,3,3,1,4,1,4,building_windows_non_float_processed
107,5,1,1,3,1,1,4,5,3,building_windows_non_float_processed
108,5,2,1,2,1,1,5,1,3,building_windows_non_float_processed
109,3,3,1,2,3,1,3,1,1,building_windows_non_float_processed
110,2,3,1,1,5,1,3,1,1,building_windows_non_float_processed
111,4,1,1,1,4,1,5,1,1,building_windows_non_float_processed
112,4,1,1,1,3,1,5,1,1,building_windows_non_float_processed
113,4,2,1,1,2,1,5,1,1,building_windows_non_float_processed
114,2,3,5,2,3,1,2,1,2,building_windows_non_float_processed
115,2,2,5,2,3,1,2,1,1,building_windows_non_float_processed
116,2,3,5,2,3,1,2,1,1,building_windows_non_float_processed
117,2,2,5,2,3,1,2,1,2,building_windows_non_float_processed
118,2,3,5,3,3,1,2,1,1,building_windows_non_float_processed
119,2,2,5,2,3,1,2,1,3,building_windows_non_float_processed
120,2,3,4,2,3,1,2,1,1,building_windows_non_float_processed
121,2,2,5,2,3,1,2,1,1,building_windows_non_float_processed
122,2,2,4,3,3,1,2,1,3,building_windows_non_float_processed
123,2,2,4,2,3,1,2,1,1,building_windows_non_float_processed
124,2,3,4,3,3,1,2,1,1,building_windows_non_float_processed
125,3,2,5,2,3,1,2,1,1,building_windows_non_float_processed
126,2,2,5,2,3,1,2,1,2,building_windows_non_float_processed
127,2,2,5,2,3,1,2,1,1,building_windows_non_float_processed
128,3,3,3,2,2,1,3,1,2,building_windows_non_float_processed
129,3,3,3,3,3,1,2,1,2,building_windows_non_float_processed
130,2,3,2,3,2,1,3,1,2,building_windows_non_float_processed
131,3,3,2,2,3,1,3,1,1,building_windows_non_float_processed
132,4,3,1,2,2,1,4,1,2,building_windows_non_float_processed
133,2,3,5,2,3,1,2,1,1,building_windows_non_float_processed
134,2,3,5,2,2,1,2,1,2,building_windows_non_float_processed
135,2,2,5,2,3,1,2,1,1,building_windows_non_float_processed
136,2,2,5,2,3,1,2,1,3,building_windows_non_float_processed
137,2,2,5,2,3,1,2,1,2,building_windows_non_float_processed
138,2,2,5,2,3,1,2,1,1,building_windows_non_float_processed
139,2,2,4,2,4,1,2,1,1,building_windows_non_float_processed
140,2,2,4,3,3,1,2,1,1,building_windows_non_float_processed
141,2,2,4,3,3,1,2,1,1,building_windows_non_float_processed
142,2,2,5,2,3,1,2,1,2,building_windows_non_float_processed
143,2,2,4,2,3,1,2,1,3,building_windows_non_float_processed
144,2,2,4,3,3,1,2,1,1,building_windows_non_float_processed
145,2,2,4,2,3,1,2,1,3,building_windows_non_float_processed
146,2,2,5,2,3,1,2,1,4,building_windows_non_float_processed
147,2,3,5,2,3,1,2,1,1,vehicle_windows_float_processed
148,2,2,4,2,3,1,2,1,1,vehicle_windows_float_processed
149,2,2,4,2,3,1,2,1,2,vehicle_windows_float_processed
150,2,2,4,2,3,1,2,1,1,vehicle_windows_float_processed
151,2,2,4,3,3,1,2,1,2,vehicle_windows_float_processed
152,3,3,5,1,2,1,2,1,1,vehicle_windows_float_processed
153,2,3,5,1,3,1,2,1,1,vehicle_windows_float_processed
154,2,3,4,2,3,1,2,1,1,vehicle_windows_float_processed
155,2,2,4,2,3,1,2,1,1,vehicle_windows_float_processed
156,2,2,4,2,3,1,2,1,1,vehicle_windows_float_processed
157,2,3,4,2,3,1,2,1,1,vehicle_windows_float_processed
158,3,3,5,1,2,1,2,1,1,vehicle_windows_float_processed
159,2,3,4,2,2,1,2,1,1,vehicle_windows_float_processed
160,2,3,4,3,2,1,2,1,1,vehicle_windows_float_processed
161,2,2,4,2,3,1,2,1,1,vehicle_windows_float_processed
162,2,3,4,1,3,1,2,1,3,vehicle_windows_float_processed
163,3,3,5,1,2,1,2,1,4,vehicle_windows_float_processed
164,1,3,3,5,1,2,1,4,1,containers
165,2,2,3,3,3,1,3,1,1,containers
166,3,1,3,2,3,1,3,1,1,containers
167,3,1,2,2,4,1,3,1,1,containers
168,2,2,1,3,4,1,3,1,1,containers
169,2,2,1,3,4,1,3,1,1,containers
170,2,2,1,3,3,1,3,1,1,containers
171,3,3,1,3,3,1,4,1,1,containers
172,1,2,1,5,1,5,1,1,1,containers
173,1,2,1,5,1,5,1,1,1,containers
174,3,2,1,2,3,1,4,1,1,containers
175,3,2,2,3,3,1,2,1,5,containers
176,3,2,1,2,4,1,3,1,3,containers
177,2,3,3,2,3,1,2,1,1,tableware
178,2,3,3,2,3,1,3,1,1,tableware
179,2,3,3,3,3,1,2,1,1,tableware
180,2,3,3,3,3,1,2,1,1,tableware
181,1,3,2,2,5,1,2,1,1,tableware
182,2,4,1,3,3,1,3,1,1,tableware
183,2,3,1,3,3,1,3,1,1,tableware
184,2,3,1,1,4,1,3,1,1,tableware
185,1,5,1,1,5,1,1,1,1,tableware
186,1,3,4,3,3,2,1,2,1,headlamps
187,2,3,4,3,2,2,1,3,1,headlamps
188,3,3,4,2,3,1,2,1,1,headlamps
189,3,4,3,3,1,1,3,1,1,headlamps
190,3,4,3,2,1,1,2,3,1,headlamps
191,2,3,2,3,3,1,2,2,1,headlamps
192,2,4,1,4,4,1,2,2,1,headlamps
193,2,3,1,4,4,1,2,1,1,headlamps
194,2,4,1,3,3,1,2,3,1,headlamps
195,2,3,1,3,4,1,2,3,1,headlamps
196,1,3,1,4,4,1,2,1,1,headlamps
197,1,3,1,4,4,1,2,2,1,headlamps
198,2,3,1,4,4,1,2,2,1,headlamps
199,1,3,1,4,3,1,2,2,1,headlamps
200,2,4,1,4,3,1,2,1,1,headlamps
201,1,4,1,4,4,1,2,2,1,headlamps
202,2,1,1,2,5,3,2,1,1,headlamps
203,1,4,1,4,4,1,2,1,1,headlamps
204,2,4,1,3,3,1,2,3,1,headlamps
205,2,4,1,4,4,1,2,2,1,headlamps
206,2,4,1,3,3,1,2,3,1,headlamps
207,2,4,1,3,3,1,2,3,1,headlamps
208,2,3,1,3,3,2,1,5,1,headlamps
209,2,3,1,4,3,1,2,1,1,headlamps
210,2,3,1,5,3,1,2,2,1,headlamps
211,2,4,1,3,3,1,2,3,1,headlamps
212,3,3,1,3,4,1,2,3,1,headlamps
213,2,3,1,3,4,1,2,3,1,headlamps
214,2,3,1,3,4,1,2,3,1,headlamps
