no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,arrival_day,booking_status
1,0,2,1,Meal Plan 1,N,Room_Type 1,34,Online,N,0,0,81,0,171,Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,289,Offline,N,0,0,67,0,291,Not_Canceled
2,0,2,3,Not Selected,N,Room_Type 1,247,Online,N,0,0,63.75,0,324,Canceled
2,0,2,1,Meal Plan 1,N,Room_Type 4,186,Online,N,0,0,121.8,1,212,Canceled
2,0,0,4,Meal Plan 1,N,Room_Type 1,64,Online,N,0,0,93.6,2,306,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,35,Online,N,0,0,102,1,173,Not_Canceled
3,0,2,1,Meal Plan 1,N,Room_Type 1,96,Online,N,0,0,121.8,1,101,Not_Canceled
2,0,1,1,Not Selected,N,Room_Type 1,41,Online,N,0,0,98.1,1,179,Canceled
2,0,0,4,Meal Plan 1,N,Room_Type 4,55,Offline,N,0,0,60,1,323,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,146,Offline,N,0,0,75,0,364,Not_Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 1,32,Offline,N,0,0,73,0,325,Not_Canceled
2,0,0,1,Meal Plan 2,N,Room_Type 1,55,Offline,N,0,0,104,0,97,Not_Canceled
2,0,0,4,Not Selected,N,Room_Type 1,57,Online,N,0,0,79.2,1,306,Not_Canceled
1,0,1,3,Meal Plan 1,N,Room_Type 4,7,Online,N,0,0,125.8,2,364,Not_Canceled
1,0,2,5,Not Selected,N,Room_Type 1,124,Online,N,0,0,87.95,0,151,Not_Canceled
2,0,2,2,Meal Plan 2,N,Room_Type 1,169,Online,N,0,0,106,0,113,Canceled
1,0,1,2,Meal Plan 1,N,Room_Type 1,6,Online,N,0,0,136.67,1,137,Not_Canceled
2,0,0,4,Meal Plan 1,N,Room_Type 4,51,Offline,N,0,0,60,1,316,Not_Canceled
2,0,1,0,Not Selected,N,Room_Type 1,13,Online,N,0,0,89,2,165,Not_Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 1,100,Online,N,0,0,136,1,140,Not_Canceled
2,0,0,1,Not Selected,N,Room_Type 1,139,Online,N,0,0,94.5,1,210,Not_Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,117,Online,N,0,0,93.6,2,361,Not_Canceled
2,0,1,4,Meal Plan 1,N,Room_Type 4,39,Online,N,0,0,120.6,0,111,Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 4,86,Online,N,0,0,99.3,1,97,Not_Canceled
2,2,0,1,Meal Plan 1,Y,Room_Type 6,2,Online,N,0,0,258,1,246,Not_Canceled
1,0,0,3,Meal Plan 1,N,Room_Type 4,19,Online,N,0,0,120.12,2,124,Not_Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 1,192,Offline,N,0,0,95,0,176,Not_Canceled
1,0,0,1,Meal Plan 1,N,Room_Type 1,2,Complementary,N,0,0,0,1,254,Not_Canceled
2,0,2,1,Meal Plan 1,N,Room_Type 1,86,Offline,N,0,0,75,0,353,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 4,30,Online,N,0,0,157.5,2,279,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 4,179,Online,N,0,0,97.7,1,155,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 4,26,Online,N,0,0,142,0,106,Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,55,Offline,N,0,0,80,0,97,Not_Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,74,Online,N,0,0,85.5,1,116,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,143,Offline,N,0,0,100,0,238,Not_Canceled
2,0,1,0,Not Selected,N,Room_Type 1,34,Online,N,0,0,88,2,319,Not_Canceled
2,0,1,1,Meal Plan 1,Y,Room_Type 1,30,Online,N,0,0,122.85,1,242,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,177,Online,N,0,0,100,0,155,Canceled
2,0,2,3,Meal Plan 1,N,Room_Type 4,34,Offline,N,0,0,75,0,299,Not_Canceled
2,0,1,4,Meal Plan 1,N,Room_Type 4,18,Online,N,0,0,116.8,1,69,Not_Canceled
3,0,1,1,Meal Plan 1,N,Room_Type 4,267,Online,N,0,0,121.5,0,366,Not_Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,64,Online,N,0,0,111.9,1,179,Not_Canceled
3,0,2,5,Meal Plan 1,N,Room_Type 4,155,Online,N,0,0,121.55,2,180,Canceled
2,0,0,5,Meal Plan 1,N,Room_Type 1,46,Offline,N,0,0,75,1,89,Not_Canceled
2,2,0,2,Meal Plan 1,N,Room_Type 6,83,Online,N,0,0,159.3,0,92,Canceled
2,0,0,5,Meal Plan 1,N,Room_Type 4,128,Online,N,0,0,132.3,0,285,Canceled
2,0,2,0,Not Selected,N,Room_Type 1,20,Online,N,0,0,88,2,360,Not_Canceled
2,0,1,4,Meal Plan 1,N,Room_Type 4,40,Online,N,0,0,98.82,0,74,Not_Canceled
2,0,1,2,Meal Plan 1,Y,Room_Type 4,46,Online,N,0,0,98.3,1,64,Not_Canceled
1,0,1,0,Meal Plan 1,N,Room_Type 1,1,Online,N,0,0,150,2,291,Not_Canceled
2,0,2,3,Not Selected,N,Room_Type 1,196,Online,N,0,0,96.05,1,248,Not_Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 1,188,Online,N,0,0,130,0,167,Canceled
2,0,0,1,Not Selected,N,Room_Type 1,17,Online,Y,0,5,95,0,345,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 5,146,Offline,N,0,0,113.56,0,222,Not_Canceled
2,0,1,3,Not Selected,N,Room_Type 1,110,Online,N,0,0,101.58,1,126,Not_Canceled
2,0,1,2,Meal Plan 1,Y,Room_Type 1,68,Online,N,0,0,105.3,0,78,Not_Canceled
2,0,2,1,Meal Plan 1,N,Room_Type 4,73,Online,N,0,0,115.8,1,100,Not_Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 4,92,Online,N,0,0,149.4,1,140,Not_Canceled
2,0,2,5,Meal Plan 1,N,Room_Type 1,171,Online,N,0,0,111.59,0,243,Canceled
2,1,0,2,Meal Plan 1,Y,Room_Type 1,134,Online,N,0,0,130.5,2,217,Not_Canceled
2,0,0,2,Meal Plan 2,N,Room_Type 1,320,Online,N,0,0,115,1,231,Canceled
2,0,0,4,Meal Plan 1,N,Room_Type 1,118,Online,N,0,0,90.95,1,104,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,30,Online,N,0,0,76.08,1,322,Not_Canceled
2,2,1,3,Meal Plan 1,N,Room_Type 6,30,Online,N,0,0,156.9,0,357,Not_Canceled
2,0,1,0,Not Selected,N,Room_Type 1,189,Online,N,0,0,85.5,2,297,Not_Canceled
3,0,1,2,Meal Plan 1,N,Room_Type 4,55,Online,N,0,0,159.3,2,134,Not_Canceled
1,0,0,4,Meal Plan 1,N,Room_Type 1,55,Online,N,0,0,74.8,2,348,Not_Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,16,Online,N,0,0,95,1,305,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,24,Online,N,0,0,107,1,282,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,8,Offline,N,0,0,64,0,47,Not_Canceled
2,0,1,4,Meal Plan 1,Y,Room_Type 1,10,Online,N,0,0,82.95,0,307,Not_Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 4,0,Online,N,0,0,155,1,265,Not_Canceled
2,0,0,1,Not Selected,N,Room_Type 1,12,Online,N,0,0,101.68,1,182,Not_Canceled
2,0,2,1,Meal Plan 1,N,Room_Type 1,32,Online,N,0,0,94.5,3,249,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,182,Online,N,0,0,117.9,2,274,Canceled
2,0,1,0,Not Selected,N,Room_Type 1,1,Online,N,0,0,127,1,179,Not_Canceled
2,0,0,3,Not Selected,N,Room_Type 1,122,Online,N,0,0,116.1,2,168,Not_Canceled
2,0,2,3,Meal Plan 1,N,Room_Type 1,40,Online,N,0,0,117.9,1,182,Not_Canceled
2,2,2,2,Meal Plan 1,N,Room_Type 2,116,Online,N,0,0,184.24,1,178,Canceled
3,0,2,2,Meal Plan 1,Y,Room_Type 4,123,Online,N,0,0,155.7,1,226,Not_Canceled
3,0,2,5,Meal Plan 1,N,Room_Type 4,40,Online,N,0,0,135.76,0,113,Canceled
2,1,2,5,Meal Plan 1,N,Room_Type 1,105,Online,N,0,0,102.83,3,317,Not_Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,443,Online,N,0,0,65,0,120,Canceled
2,0,2,3,Meal Plan 1,N,Room_Type 1,2,Online,N,0,0,103,1,319,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,317,Online,N,0,0,106.2,1,245,Canceled
2,0,0,2,Meal Plan 2,N,Room_Type 1,286,Offline,N,0,0,58.5,0,260,Not_Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 1,68,Online,N,0,0,73.95,0,70,Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,148,Online,N,0,0,105.3,0,126,Not_Canceled
3,0,2,0,Meal Plan 1,N,Room_Type 4,68,Online,N,0,0,133.2,2,115,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,30,Offline,N,0,0,85.5,0,90,Not_Canceled
1,0,0,1,Meal Plan 1,N,Room_Type 1,14,Online,N,0,0,112,1,308,Canceled
2,2,0,2,Meal Plan 1,N,Room_Type 6,110,Online,N,0,0,190.8,0,288,Canceled
1,0,2,3,Meal Plan 1,N,Room_Type 1,117,Offline,N,0,0,110,0,157,Not_Canceled
2,0,1,4,Meal Plan 1,N,Room_Type 4,85,Online,N,0,0,91.48,1,195,Not_Canceled
2,0,0,2,Not Selected,N,Room_Type 1,1,Online,N,0,0,135,2,294,Not_Canceled
1,0,1,2,Meal Plan 1,N,Room_Type 1,25,Online,N,0,0,129,2,291,Not_Canceled
2,0,2,4,Not Selected,N,Room_Type 1,289,Online,N,0,0,70.55,2,363,Canceled
2,0,1,4,Meal Plan 1,N,Room_Type 4,28,Offline,N,0,0,75,0,293,Not_Canceled
1,0,0,4,Not Selected,N,Room_Type 1,80,Online,N,0,0,72.25,0,89,Not_Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 4,11,Online,N,0,0,155,2,283,Not_Canceled
2,1,1,0,Meal Plan 1,N,Room_Type 1,162,Online,N,0,0,121.5,2,207,Canceled
2,0,2,5,Meal Plan 1,N,Room_Type 1,155,Online,N,0,0,90.95,2,180,Not_Canceled
1,0,2,2,Meal Plan 1,N,Room_Type 1,82,Online,N,0,0,109.65,0,143,Not_Canceled
3,0,2,4,Meal Plan 1,N,Room_Type 4,27,Online,N,0,0,142.72,0,106,Canceled
1,0,1,2,Meal Plan 1,N,Room_Type 1,13,Offline,N,0,0,90,0,130,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,245,Online,N,0,0,75,0,169,Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,11,Online,N,0,0,111,1,323,Canceled
2,0,2,2,Meal Plan 1,N,Room_Type 1,266,Online,N,0,0,86.7,2,304,Not_Canceled
2,0,1,0,Meal Plan 1,N,Room_Type 1,39,Online,N,0,0,117.9,1,88,Not_Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 1,13,Complementary,Y,3,5,0,1,153,Not_Canceled
2,0,0,4,Not Selected,N,Room_Type 1,112,Online,N,0,0,101.58,1,125,Not_Canceled
2,0,1,2,Not Selected,N,Room_Type 1,88,Online,N,0,0,58.9,1,99,Not_Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,56,Offline,N,0,0,120,0,160,Not_Canceled
2,0,2,3,Meal Plan 1,N,Room_Type 4,73,Online,N,0,0,107.1,0,98,Canceled
2,0,1,1,Meal Plan 1,N,Room_Type 1,80,Online,N,0,0,126.9,1,123,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 4,130,Online,N,0,0,139.5,2,273,Canceled
2,0,1,3,Not Selected,N,Room_Type 1,69,Online,N,0,0,80.75,1,95,Not_Canceled
2,0,0,2,Meal Plan 2,N,Room_Type 1,273,Online,N,0,0,109,0,199,Canceled
2,0,0,1,Meal Plan 2,N,Room_Type 1,55,Offline,N,0,0,104,0,97,Not_Canceled
1,0,0,3,Meal Plan 1,N,Room_Type 1,4,Corporate,Y,1,5,65,1,306,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 4,97,Online,N,0,0,140.4,0,145,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,44,Offline,N,0,0,75,0,48,Not_Canceled
2,0,0,1,Not Selected,N,Room_Type 1,31,Online,N,0,0,94.5,0,105,Canceled
2,0,1,0,Not Selected,N,Room_Type 1,0,Online,N,0,0,109,0,157,Not_Canceled
2,0,2,2,Meal Plan 1,N,Room_Type 1,62,Online,N,0,0,105,2,317,Not_Canceled
2,0,2,2,Meal Plan 1,N,Room_Type 4,86,Online,N,0,0,107.95,1,108,Not_Canceled
3,0,2,2,Meal Plan 1,N,Room_Type 7,3,Online,N,0,0,215.6,1,281,Not_Canceled
2,0,1,1,Not Selected,N,Room_Type 1,197,Online,N,0,0,85.5,1,214,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,143,Online,N,0,0,105.3,2,194,Not_Canceled
1,0,2,1,Meal Plan 2,N,Room_Type 1,23,Online,N,0,0,1,0,2,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 4,8,Online,N,0,0,156,0,167,Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 1,13,Online,N,0,0,73.15,1,321,Not_Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,280,Online,N,0,0,110,0,263,Canceled
2,1,1,0,Not Selected,N,Room_Type 1,11,Online,N,0,0,87.4,1,257,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,317,Online,N,0,0,120,0,259,Canceled
2,0,1,2,Not Selected,N,Room_Type 1,185,Online,N,0,0,79.2,0,351,Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 1,160,Online,N,0,0,90.95,1,182,Not_Canceled
2,0,0,4,Meal Plan 1,N,Room_Type 1,104,Online,N,0,0,91.48,1,292,Not_Canceled
2,1,0,1,Meal Plan 1,N,Room_Type 1,11,Online,N,0,0,150,1,310,Canceled
2,0,0,1,Not Selected,N,Room_Type 1,2,Online,N,0,0,89,0,82,Not_Canceled
2,0,1,4,Not Selected,N,Room_Type 1,14,Online,N,0,0,91.43,1,230,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,22,Offline,N,0,0,140,0,141,Not_Canceled
1,1,2,5,Not Selected,N,Room_Type 1,37,Online,N,0,0,87.78,0,298,Not_Canceled
2,0,0,2,Meal Plan 2,N,Room_Type 1,292,Online,N,0,0,115,0,203,Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,11,Online,N,0,0,80.85,1,253,Not_Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 1,86,Online,N,0,0,82.45,1,91,Not_Canceled
2,0,0,1,Not Selected,N,Room_Type 1,109,Online,N,0,0,108,0,285,Canceled
2,0,1,1,Meal Plan 1,N,Room_Type 4,72,Online,N,0,0,96.3,1,93,Not_Canceled
2,0,1,5,Meal Plan 1,N,Room_Type 1,196,Online,N,0,0,99.45,0,235,Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 4,56,Online,N,0,0,140.4,1,134,Not_Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 1,189,Offline,N,0,0,72.25,0,221,Not_Canceled
2,0,1,4,Meal Plan 1,N,Room_Type 4,126,Online,N,0,0,126,0,228,Not_Canceled
2,0,2,3,Meal Plan 1,N,Room_Type 1,303,Online,N,0,0,78,0,232,Canceled
1,0,2,2,Meal Plan 1,N,Room_Type 4,81,Online,N,0,0,146.6,1,311,Not_Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,54,Online,N,0,0,118.8,0,284,Canceled
1,0,0,1,Meal Plan 1,N,Room_Type 1,15,Online,N,0,0,145,0,280,Canceled
2,0,0,4,Meal Plan 1,N,Room_Type 1,86,Online,N,0,0,84.58,0,97,Canceled
2,0,1,2,Meal Plan 2,N,Room_Type 1,161,Online,N,0,0,130,0,85,Canceled
2,0,4,10,Meal Plan 1,N,Room_Type 4,147,Online,N,0,0,118.88,1,216,Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,92,Offline,N,0,0,101.52,0,151,Not_Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,87,Corporate,N,0,0,100,0,255,Canceled
2,0,2,1,Meal Plan 1,N,Room_Type 1,109,Offline,N,0,0,58,0,80,Not_Canceled
2,0,0,4,Meal Plan 1,N,Room_Type 1,127,Offline,N,0,0,61.5,2,83,Not_Canceled
2,0,1,2,Meal Plan 2,N,Room_Type 1,418,Online,N,0,0,107,0,270,Canceled
2,0,1,4,Not Selected,N,Room_Type 1,156,Online,N,0,0,87.3,1,237,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,80,Online,N,0,0,76.5,1,198,Canceled
2,0,2,2,Not Selected,N,Room_Type 1,211,Online,N,0,0,63.75,0,351,Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,273,Online,N,0,0,95,0,134,Canceled
2,0,2,1,Meal Plan 1,N,Room_Type 1,58,Offline,N,0,0,75,1,324,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,433,Online,N,0,0,70,0,252,Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 1,111,Online,N,0,0,101.58,1,123,Not_Canceled
2,0,2,3,Meal Plan 1,N,Room_Type 1,34,Offline,N,0,0,85,0,234,Not_Canceled
2,0,2,4,Meal Plan 1,N,Room_Type 1,17,Online,N,0,0,98.39,0,338,Not_Canceled
1,0,0,0,Meal Plan 1,N,Room_Type 1,4,Complementary,N,0,0,0,1,58,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,6,Online,N,0,0,106.07,1,266,Not_Canceled
2,0,1,1,Meal Plan 1,N,Room_Type 1,32,Offline,N,0,0,105,1,200,Not_Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,4,Online,N,0,0,145,2,266,Not_Canceled
3,0,2,1,Meal Plan 1,N,Room_Type 1,195,Online,N,0,0,106.03,1,226,Canceled
2,0,2,2,Meal Plan 1,N,Room_Type 1,119,Online,N,0,0,114.3,1,226,Not_Canceled
1,0,1,1,Not Selected,N,Room_Type 1,13,Online,N,0,0,88,0,340,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,59,Online,N,0,0,89.25,2,289,Not_Canceled
2,1,2,5,Meal Plan 1,N,Room_Type 4,78,Online,N,0,0,86.32,1,80,Not_Canceled
2,0,0,3,Meal Plan 1,N,Room_Type 1,335,Offline,N,0,0,90,1,287,Not_Canceled
2,0,2,5,Meal Plan 1,N,Room_Type 1,103,Online,N,0,0,55.96,0,235,Not_Canceled
1,0,0,2,Not Selected,N,Room_Type 1,0,Online,N,0,0,109,1,160,Not_Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,118,Offline,N,0,0,86,0,61,Not_Canceled
2,0,1,5,Meal Plan 1,N,Room_Type 1,56,Online,N,0,0,118.95,0,249,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,107,Offline,N,0,0,130,1,162,Not_Canceled
2,0,1,3,Not Selected,N,Room_Type 1,70,Online,N,0,0,90.56,1,105,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,76,Online,N,0,0,87.3,1,92,Not_Canceled
2,2,2,2,Meal Plan 1,N,Room_Type 6,144,Online,N,0,0,177.65,1,148,Canceled
1,2,2,2,Meal Plan 1,N,Room_Type 6,4,Online,N,0,0,200.75,2,263,Not_Canceled
2,1,0,2,Meal Plan 1,N,Room_Type 1,15,Online,N,0,0,127,1,78,Not_Canceled
1,0,1,2,Meal Plan 1,N,Room_Type 1,32,Online,N,0,0,72.9,0,36,Canceled
3,0,1,1,Meal Plan 1,N,Room_Type 4,49,Online,N,0,0,159.3,0,128,Canceled
2,1,1,3,Meal Plan 1,N,Room_Type 1,77,Online,N,0,0,135.15,1,133,Not_Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 1,22,Offline,N,0,0,90,0,302,Not_Canceled
2,0,1,0,Not Selected,N,Room_Type 1,0,Online,N,0,0,114,0,292,Not_Canceled
2,1,0,1,Meal Plan 1,Y,Room_Type 1,58,Online,N,0,0,125.1,1,173,Not_Canceled
2,0,2,6,Not Selected,N,Room_Type 1,4,Online,N,0,0,95.13,1,227,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 5,117,Online,N,0,0,105.84,0,120,Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 1,36,Online,N,0,0,102,0,361,Canceled
2,0,2,2,Not Selected,N,Room_Type 1,35,Online,N,0,0,74.8,2,337,Not_Canceled
2,0,1,0,Not Selected,N,Room_Type 1,31,Online,N,0,0,94.5,0,115,Canceled
2,0,2,4,Not Selected,N,Room_Type 1,79,Online,N,0,0,120.6,0,168,Not_Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,1,Online,N,0,0,139.33,0,283,Not_Canceled
2,0,0,2,Meal Plan 1,N,Room_Type 1,21,Online,N,0,0,105,0,247,Not_Canceled
2,0,0,2,Not Selected,N,Room_Type 1,12,Corporate,N,0,0,100,1,258,Not_Canceled
2,0,1,0,Meal Plan 1,N,Room_Type 1,33,Online,N,0,0,80.3,1,39,Not_Canceled
1,0,0,2,Meal Plan 1,N,Room_Type 1,164,Offline,N,0,0,100,0,276,Not_Canceled
2,0,0,3,Meal Plan 1,Y,Room_Type 1,78,Online,N,0,0,105.3,1,84,Not_Canceled
2,0,0,4,Meal Plan 1,N,Room_Type 4,18,Online,N,0,0,112.8,0,152,Canceled
2,0,1,2,Meal Plan 1,N,Room_Type 1,21,Online,N,0,0,151,0,228,Canceled
1,0,1,3,Meal Plan 1,N,Room_Type 1,0,Online,N,0,0,91,1,314,Not_Canceled
3,0,2,1,Meal Plan 1,N,Room_Type 4,152,Online,N,0,0,146.7,1,226,Canceled
2,0,2,3,Meal Plan 1,N,Room_Type 1,43,Offline,N,0,0,58.4,0,276,Not_Canceled
2,0,0,4,Not Selected,N,Room_Type 1,177,Online,N,0,0,80.75,1,208,Canceled
2,0,1,1,Not Selected,N,Room_Type 1,47,Offline,N,0,0,76.5,0,142,Not_Canceled
3,0,0,3,Meal Plan 1,N,Room_Type 4,57,Online,N,0,0,140.13,0,251,Not_Canceled
2,0,2,4,Not Selected,N,Room_Type 1,60,Online,N,0,0,76,1,320,Not_Canceled
2,0,0,1,Meal Plan 1,N,Room_Type 1,0,Online,N,0,0,200,0,260,Not_Canceled
2,0,0,2,Meal Plan 2,N,Room_Type 1,102,Online,N,0,0,101.5,0,290,Canceled
2,0,0,3,Not Selected,N,Room_Type 1,71,Online,N,0,0,108,1,292,Not_Canceled
3,0,2,3,Meal Plan 2,N,Room_Type 4,111,Online,N,0,0,189,1,205,Not_Canceled
3,0,1,1,Meal Plan 1,N,Room_Type 4,1,Online,N,0,0,166,3,163,Not_Canceled
2,0,1,1,Not Selected,N,Room_Type 1,4,Online,N,0,0,67.5,0,16,Not_Canceled
2,0,1,3,Meal Plan 1,N,Room_Type 4,25,Online,N,0,0,78.54,1,258,Not_Canceled
1,0,2,2,Meal Plan 1,N,Room_Type 1,209,Online,N,0,0,152.1,1,311,Canceled
