workclass,education,marital_status,occupation,relationship,race,sex,native_country,income
Self-emp-inc,Some-college,Divorced,Machine-op-inspct,Husband,Black,Female,Portugal,<=50K
Without-pay,9th,Married-civ-spouse,Tech-support,Husband,Amer-Indian-Eskimo,Male,Cuba,<=50K
Self-emp-not-inc,7th-8th,Married-civ-spouse,Priv-house-serv,Unmarried,White,Male,Jamaica,>50K
Local-gov,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,>50K
Local-gov,Prof-school,Married-AF-spouse,Farming-fishing,Own-child,Other,Female,Thailand,>50K
Local-gov,Assoc-acdm,Married-civ-spouse,Farming-fishing,Other-relative,Asian-Pac-Islander,Male,Ireland,<=50K
Local-gov,Preschool,Widowed,Exec-managerial,Unmarried,Other,Male,England,>50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Self-emp-inc,10th,Married-civ-spouse,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,Italy,<=50K
Self-emp-not-inc,10th,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
State-gov,11th,Married-AF-spouse,Craft-repair,Unmarried,Asian-Pac-Islander,Male,Ireland,>50K
Without-pay,HS-grad,Married-civ-spouse,Exec-managerial,Other-relative,Black,Male,Iran,<=50K
Private,Masters,Married-civ-spouse,Priv-house-serv,Other-relative,Asian-Pac-Islander,Male,United-States,<=50K
State-gov,11th,Widowed,Transport-moving,Not-in-family,White,Male,El-Salvador,<=50K
Without-pay,Bachelors,Separated,Priv-house-serv,Other-relative,Black,Male,Greece,>50K
Federal-gov,HS-grad,Married-spouse-absent,Priv-house-serv,Other-relative,Asian-Pac-Islander,Female,England,<=50K
Self-emp-not-inc,Prof-school,Widowed,Craft-repair,Other-relative,Black,Female,China,<=50K
Self-emp-inc,Masters,Divorced,Exec-managerial,Husband,Other,Male,Ireland,<=50K
State-gov,Preschool,Married-spouse-absent,Handlers-cleaners,Other-relative,Other,Female,Cambodia,<=50K
Private,Some-college,Divorced,Tech-support,Not-in-family,White,Female,Poland,<=50K
State-gov,Assoc-voc,Separated,Other-service,Own-child,Other,Male,Hong,>50K
State-gov,7th-8th,Married-AF-spouse,Adm-clerical,Unmarried,Black,Female,England,>50K
Self-emp-not-inc,11th,Married-AF-spouse,Transport-moving,Unmarried,Black,Female,Cambodia,<=50K
State-gov,10th,Married-civ-spouse,Tech-support,Own-child,Asian-Pac-Islander,Female,Thailand,<=50K
Private,5th-6th,Married-spouse-absent,Protective-serv,Not-in-family,Other,Female,England,<=50K
Self-emp-not-inc,Prof-school,Never-married,Machine-op-inspct,Not-in-family,Black,Female,Taiwan,>50K
Self-emp-inc,9th,Married-civ-spouse,Prof-specialty,Not-in-family,Other,Female,Cuba,<=50K
Federal-gov,Assoc-voc,Divorced,Farming-fishing,Other-relative,Amer-Indian-Eskimo,Male,Philippines,>50K
Federal-gov,7th-8th,Separated,Sales,Not-in-family,Amer-Indian-Eskimo,Male,Taiwan,>50K
Private,1st-4th,Divorced,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,Canada,<=50K
State-gov,5th-6th,Married-AF-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,Laos,>50K
Local-gov,9th,Married-AF-spouse,Priv-house-serv,Own-child,White,Female,Trinadad&Tobago,>50K
Self-emp-not-inc,5th-6th,Married-civ-spouse,Other-service,Husband,White,Male,El-Salvador,<=50K
State-gov,Doctorate,Married-spouse-absent,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,Canada,>50K
State-gov,9th,Divorced,Craft-repair,Other-relative,Other,Male,Mexico,>50K
Self-emp-inc,Assoc-acdm,Married-AF-spouse,Armed-Forces,Unmarried,Other,Female,Mexico,>50K
State-gov,Preschool,Separated,Priv-house-serv,Husband,Other,Male,Yugoslavia,>50K
State-gov,Bachelors,Married-spouse-absent,Other-service,Own-child,Asian-Pac-Islander,Female,South,<=50K
Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Federal-gov,12th,Married-spouse-absent,Other-service,Own-child,Asian-Pac-Islander,Male,Cambodia,<=50K
Without-pay,Some-college,Separated,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,Germany,<=50K
Private,Bachelors,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,Columbia,<=50K
Federal-gov,12th,Never-married,Prof-specialty,Unmarried,Black,Female,South,<=50K
Self-emp-inc,Bachelors,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,Jamaica,<=50K
Without-pay,7th-8th,Divorced,Craft-repair,Husband,Amer-Indian-Eskimo,Female,Cambodia,>50K
Without-pay,Assoc-acdm,Married-spouse-absent,Exec-managerial,Unmarried,White,Male,Yugoslavia,<=50K
Self-emp-not-inc,11th,Married-civ-spouse,Farming-fishing,Own-child,Asian-Pac-Islander,Female,Vietnam,>50K
Self-emp-inc,7th-8th,Never-married,Priv-house-serv,Not-in-family,White,Male,Germany,<=50K
Federal-gov,Bachelors,Never-married,Priv-house-serv,Unmarried,Other,Male,Taiwan,>50K
Private,9th,Married-spouse-absent,Craft-repair,Other-relative,Amer-Indian-Eskimo,Male,Dominican-Republic,>50K
Self-emp-not-inc,12th,Married-spouse-absent,Prof-specialty,Own-child,Black,Female,Laos,<=50K
State-gov,Some-college,Separated,Farming-fishing,Husband,White,Female,Italy,>50K
Local-gov,Doctorate,Divorced,Adm-clerical,Own-child,Other,Female,Dominican-Republic,>50K
Federal-gov,HS-grad,Married-AF-spouse,Handlers-cleaners,Other-relative,White,Female,India,>50K
Federal-gov,1st-4th,Married-AF-spouse,Transport-moving,Own-child,Asian-Pac-Islander,Male,Mexico,<=50K
State-gov,Bachelors,Never-married,Exec-managerial,Husband,White,Male,Nicaragua,>50K
Self-emp-not-inc,1st-4th,Married-AF-spouse,Prof-specialty,Unmarried,Black,Male,Thailand,>50K
Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
Private,10th,Married-AF-spouse,Transport-moving,Wife,Black,Female,Holland-Netherlands,>50K
State-gov,Bachelors,Married-spouse-absent,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Male,Ecuador,<=50K
Without-pay,Masters,Married-civ-spouse,Exec-managerial,Unmarried,Black,Male,Mexico,<=50K
State-gov,7th-8th,Married-AF-spouse,Machine-op-inspct,Other-relative,White,Male,Italy,<=50K
Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Self-emp-not-inc,Doctorate,Separated,Armed-Forces,Not-in-family,Black,Male,Japan,<=50K
State-gov,1st-4th,Married-spouse-absent,Transport-moving,Unmarried,White,Male,India,<=50K
Private,Preschool,Divorced,Priv-house-serv,Unmarried,Asian-Pac-Islander,Female,Canada,>50K
Federal-gov,5th-6th,Divorced,Adm-clerical,Not-in-family,White,Male,Japan,<=50K
Local-gov,Prof-school,Married-spouse-absent,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Male,South,<=50K
Federal-gov,Assoc-voc,Married-civ-spouse,Other-service,Other-relative,Asian-Pac-Islander,Male,Guatemala,<=50K
Federal-gov,HS-grad,Separated,Protective-serv,Husband,Amer-Indian-Eskimo,Female,Taiwan,<=50K
Self-emp-inc,Assoc-voc,Widowed,Craft-repair,Wife,Asian-Pac-Islander,Male,Puerto-Rico,<=50K
Private,HS-grad,Married-spouse-absent,Handlers-cleaners,Wife,Amer-Indian-Eskimo,Female,Greece,>50K
State-gov,Some-college,Married-spouse-absent,Other-service,Unmarried,White,Male,Nicaragua,<=50K
Self-emp-inc,Assoc-voc,Married-AF-spouse,Protective-serv,Wife,Asian-Pac-Islander,Female,Ecuador,<=50K
Local-gov,12th,Married-AF-spouse,Tech-support,Own-child,White,Male,United-States,<=50K
Federal-gov,9th,Divorced,Prof-specialty,Husband,White,Female,Outlying-US(Guam-USVI-etc),<=50K
Self-emp-not-inc,HS-grad,Married-AF-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,Haiti,<=50K
Federal-gov,Bachelors,Divorced,Machine-op-inspct,Other-relative,Amer-Indian-Eskimo,Male,China,<=50K
Self-emp-not-inc,12th,Married-AF-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Female,Ecuador,<=50K
Self-emp-inc,Assoc-acdm,Divorced,Sales,Own-child,Other,Male,Greece,>50K
Self-emp-not-inc,5th-6th,Married-AF-spouse,Sales,Husband,White,Male,Cambodia,<=50K
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,Some-college,Married-spouse-absent,Prof-specialty,Unmarried,Black,Male,United-States,<=50K
Local-gov,9th,Married-AF-spouse,Craft-repair,Other-relative,Amer-Indian-Eskimo,Female,Columbia,>50K
Without-pay,Some-college,Separated,Handlers-cleaners,Other-relative,Other,Female,Guatemala,>50K
State-gov,HS-grad,Never-married,Adm-clerical,Other-relative,Other,Female,Laos,>50K
Without-pay,5th-6th,Separated,Other-service,Unmarried,Amer-Indian-Eskimo,Female,Honduras,>50K
Federal-gov,11th,Never-married,Sales,Wife,Black,Male,Italy,>50K
Private,Preschool,Married-spouse-absent,Machine-op-inspct,Husband,Black,Male,Honduras,<=50K
Self-emp-not-inc,HS-grad,Never-married,Adm-clerical,Other-relative,Black,Female,El-Salvador,<=50K
State-gov,Preschool,Married-AF-spouse,Machine-op-inspct,Husband,Black,Female,Nicaragua,<=50K
State-gov,7th-8th,Divorced,Prof-specialty,Wife,White,Female,Holland-Netherlands,<=50K
Local-gov,1st-4th,Married-spouse-absent,Priv-house-serv,Own-child,Other,Male,China,>50K
Without-pay,Preschool,Widowed,Prof-specialty,Other-relative,White,Female,France,>50K
Self-emp-inc,Masters,Married-spouse-absent,Machine-op-inspct,Own-child,Other,Male,Nicaragua,>50K
State-gov,Prof-school,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Female,Cuba,<=50K
Without-pay,Assoc-acdm,Married-spouse-absent,Armed-Forces,Not-in-family,Black,Female,Italy,<=50K
Local-gov,11th,Separated,Sales,Husband,White,Male,Ecuador,>50K
Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
Without-pay,10th,Married-civ-spouse,Other-service,Own-child,Other,Female,Honduras,>50K
Self-emp-not-inc,Doctorate,Married-AF-spouse,Protective-serv,Unmarried,White,Male,Jamaica,>50K
Federal-gov,5th-6th,Never-married,Farming-fishing,Husband,Asian-Pac-Islander,Female,Ecuador,<=50K
Without-pay,Some-college,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Female,Outlying-US(Guam-USVI-etc),<=50K
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Private,HS-grad,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Private,Masters,Married-spouse-absent,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,Scotland,>50K
Federal-gov,Preschool,Married-spouse-absent,Farming-fishing,Not-in-family,Asian-Pac-Islander,Female,Philippines,>50K
Self-emp-not-inc,Masters,Never-married,Other-service,Other-relative,Black,Female,Thailand,<=50K
Private,Assoc-voc,Never-married,Protective-serv,Own-child,White,Male,China,<=50K
Self-emp-not-inc,5th-6th,Widowed,Tech-support,Other-relative,Amer-Indian-Eskimo,Female,Nicaragua,<=50K
State-gov,Masters,Married-AF-spouse,Other-service,Other-relative,Black,Female,Peru,<=50K
State-gov,7th-8th,Widowed,Protective-serv,Unmarried,Asian-Pac-Islander,Male,Puerto-Rico,>50K
Private,Doctorate,Separated,Tech-support,Not-in-family,Asian-Pac-Islander,Female,Philippines,<=50K
Without-pay,7th-8th,Married-AF-spouse,Prof-specialty,Husband,Black,Female,Japan,<=50K
Private,Doctorate,Never-married,Sales,Husband,Black,Female,Poland,<=50K
State-gov,12th,Married-AF-spouse,Handlers-cleaners,Own-child,Black,Male,Mexico,>50K
Without-pay,11th,Separated,Armed-Forces,Wife,Amer-Indian-Eskimo,Male,France,>50K
Local-gov,12th,Never-married,Armed-Forces,Husband,Asian-Pac-Islander,Female,India,<=50K
Federal-gov,11th,Never-married,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,Yugoslavia,>50K
Federal-gov,HS-grad,Married-spouse-absent,Sales,Unmarried,Other,Female,Vietnam,<=50K
Local-gov,10th,Married-AF-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,Trinadad&Tobago,>50K
Private,Masters,Married-spouse-absent,Armed-Forces,Other-relative,Asian-Pac-Islander,Female,Iran,>50K
Private,HS-grad,Married-civ-spouse,Sales,Own-child,Black,Female,Mexico,>50K
Private,7th-8th,Married-AF-spouse,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,China,>50K
Private,Some-college,Separated,Protective-serv,Not-in-family,Asian-Pac-Islander,Female,Holland-Netherlands,<=50K
Private,HS-grad,Never-married,Tech-support,Not-in-family,White,Male,United-States,<=50K
Local-gov,7th-8th,Divorced,Protective-serv,Husband,Black,Female,Canada,>50K
Private,11th,Never-married,Handlers-cleaners,Own-child,Black,Male,United-States,<=50K
Private,Some-college,Married-spouse-absent,Sales,Own-child,Asian-Pac-Islander,Female,Canada,<=50K
Self-emp-not-inc,1st-4th,Divorced,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Male,Iran,<=50K
Local-gov,9th,Married-AF-spouse,Craft-repair,Own-child,Amer-Indian-Eskimo,Female,Ecuador,<=50K
Federal-gov,1st-4th,Married-civ-spouse,Transport-moving,Unmarried,Asian-Pac-Islander,Female,Columbia,>50K
Private,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,Never-married,Other-service,Other-relative,Other,Male,Mexico,<=50K
Self-emp-not-inc,Bachelors,Married-spouse-absent,Protective-serv,Other-relative,Other,Female,Mexico,>50K
Private,5th-6th,Divorced,Protective-serv,Not-in-family,Black,Female,Laos,<=50K
Self-emp-not-inc,Bachelors,Divorced,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,Portugal,>50K
Private,Bachelors,Separated,Prof-specialty,Unmarried,White,Male,United-States,<=50K
Local-gov,HS-grad,Never-married,Tech-support,Other-relative,Asian-Pac-Islander,Female,Vietnam,<=50K
Self-emp-not-inc,Masters,Separated,Prof-specialty,Own-child,White,Male,Mexico,<=50K
State-gov,9th,Widowed,Armed-Forces,Unmarried,Black,Female,Honduras,<=50K
Private,HS-grad,Married-spouse-absent,Farming-fishing,Other-relative,Black,Male,United-States,<=50K
Self-emp-inc,7th-8th,Never-married,Priv-house-serv,Own-child,Black,Female,Nicaragua,>50K
Federal-gov,1st-4th,Divorced,Armed-Forces,Husband,Other,Female,Iran,<=50K
Local-gov,Bachelors,Married-civ-spouse,Sales,Unmarried,White,Male,Haiti,<=50K
Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K
Self-emp-not-inc,Doctorate,Married-civ-spouse,Machine-op-inspct,Unmarried,Black,Male,Peru,>50K
Self-emp-not-inc,HS-grad,Divorced,Farming-fishing,Unmarried,White,Male,United-States,<=50K
Without-pay,9th,Married-civ-spouse,Other-service,Unmarried,Amer-Indian-Eskimo,Female,Peru,>50K
Private,Prof-school,Married-spouse-absent,Prof-specialty,Other-relative,White,Female,England,<=50K
Local-gov,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,United-States,<=50K
Without-pay,1st-4th,Married-AF-spouse,Other-service,Other-relative,White,Male,Taiwan,>50K
State-gov,12th,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,Ireland,>50K
Without-pay,Bachelors,Divorced,Tech-support,Other-relative,Other,Male,Laos,>50K
Private,7th-8th,Widowed,Protective-serv,Unmarried,Other,Male,Cuba,<=50K
Without-pay,12th,Married-spouse-absent,Handlers-cleaners,Own-child,Black,Female,Cuba,>50K
Self-emp-inc,5th-6th,Married-civ-spouse,Protective-serv,Not-in-family,Asian-Pac-Islander,Female,Cuba,>50K
State-gov,10th,Widowed,Handlers-cleaners,Own-child,Black,Female,Vietnam,>50K
Self-emp-not-inc,1st-4th,Married-spouse-absent,Handlers-cleaners,Not-in-family,Other,Female,Cambodia,>50K
Without-pay,12th,Married-AF-spouse,Adm-clerical,Own-child,Amer-Indian-Eskimo,Female,Portugal,<=50K
Local-gov,7th-8th,Divorced,Sales,Unmarried,Other,Male,Peru,<=50K
Without-pay,5th-6th,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Female,Philippines,<=50K
Without-pay,Assoc-acdm,Married-spouse-absent,Tech-support,Wife,White,Female,Taiwan,>50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Federal-gov,Masters,Widowed,Protective-serv,Own-child,Other,Female,Cambodia,<=50K
Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Local-gov,HS-grad,Never-married,Other-service,Other-relative,Amer-Indian-Eskimo,Male,England,<=50K
Self-emp-inc,12th,Divorced,Exec-managerial,Not-in-family,Other,Male,Italy,>50K
Local-gov,9th,Married-spouse-absent,Sales,Own-child,Black,Female,Yugoslavia,<=50K
Self-emp-not-inc,1st-4th,Married-spouse-absent,Handlers-cleaners,Husband,White,Male,Trinadad&Tobago,>50K
Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Without-pay,10th,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,Outlying-US(Guam-USVI-etc),<=50K
Self-emp-inc,5th-6th,Widowed,Protective-serv,Own-child,Black,Female,Trinadad&Tobago,<=50K
Private,Assoc-acdm,Widowed,Tech-support,Wife,Asian-Pac-Islander,Male,Iran,>50K
Self-emp-inc,12th,Widowed,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Female,Ireland,>50K
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
Self-emp-inc,12th,Married-civ-spouse,Adm-clerical,Unmarried,Other,Male,Honduras,<=50K
Private,11th,Married-AF-spouse,Farming-fishing,Own-child,Asian-Pac-Islander,Male,Outlying-US(Guam-USVI-etc),<=50K
Self-emp-inc,Assoc-acdm,Separated,Sales,Own-child,Amer-Indian-Eskimo,Female,Philippines,<=50K
Private,Some-college,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K
Local-gov,11th,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,Hungary,<=50K
State-gov,12th,Divorced,Transport-moving,Not-in-family,Black,Male,India,<=50K
Private,Some-college,Widowed,Adm-clerical,Unmarried,White,Female,United-States,>50K
State-gov,1st-4th,Widowed,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,Iran,>50K
Self-emp-not-inc,Some-college,Married-civ-spouse,Handlers-cleaners,Wife,Black,Female,Philippines,<=50K
Self-emp-inc,9th,Never-married,Protective-serv,Not-in-family,Black,Male,Laos,>50K
Self-emp-not-inc,Preschool,Separated,Sales,Wife,Asian-Pac-Islander,Female,Peru,>50K
Self-emp-inc,10th,Divorced,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Female,Jamaica,>50K
State-gov,1st-4th,Married-spouse-absent,Transport-moving,Other-relative,Other,Female,Thailand,<=50K
State-gov,Bachelors,Divorced,Machine-op-inspct,Husband,White,Female,Cambodia,<=50K
Self-emp-not-inc,5th-6th,Married-spouse-absent,Farming-fishing,Other-relative,Other,Male,Puerto-Rico,>50K
Federal-gov,Bachelors,Widowed,Tech-support,Unmarried,Amer-Indian-Eskimo,Female,Guatemala,>50K
Without-pay,9th,Married-AF-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,Guatemala,>50K
Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Own-child,Other,Female,Poland,>50K
Private,9th,Separated,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,England,<=50K
Self-emp-not-inc,Prof-school,Divorced,Exec-managerial,Other-relative,White,Female,United-States,>50K
Without-pay,10th,Separated,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Female,India,<=50K
Private,1st-4th,Divorced,Farming-fishing,Not-in-family,White,Male,Columbia,<=50K
Without-pay,1st-4th,Married-spouse-absent,Armed-Forces,Other-relative,White,Female,Holland-Netherlands,<=50K
State-gov,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Female,Cuba,<=50K
Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Self-emp-inc,12th,Separated,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,India,>50K
Local-gov,Some-college,Widowed,Handlers-cleaners,Husband,Other,Female,United-States,<=50K
State-gov,Some-college,Divorced,Other-service,Own-child,Black,Female,China,>50K
Private,9th,Separated,Other-service,Not-in-family,Black,Female,Portugal,<=50K
Federal-gov,11th,Divorced,Protective-serv,Own-child,Other,Male,Cuba,<=50K
Self-emp-not-inc,11th,Widowed,Adm-clerical,Unmarried,White,Female,Haiti,<=50K
Self-emp-not-inc,Bachelors,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,Preschool,Never-married,Sales,Unmarried,Black,Female,Haiti,<=50K
Local-gov,9th,Never-married,Craft-repair,Other-relative,White,Female,Portugal,>50K
Self-emp-not-inc,Bachelors,Separated,Sales,Unmarried,Amer-Indian-Eskimo,Female,Germany,<=50K
Self-emp-not-inc,Doctorate,Married-spouse-absent,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Female,Canada,<=50K
Local-gov,12th,Separated,Tech-support,Own-child,Amer-Indian-Eskimo,Male,Scotland,<=50K
Self-emp-not-inc,7th-8th,Married-spouse-absent,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Male,Canada,<=50K
Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,Prof-school,Married-civ-spouse,Other-service,Wife,Amer-Indian-Eskimo,Male,Ecuador,>50K
Self-emp-not-inc,7th-8th,Widowed,Prof-specialty,Own-child,Other,Male,Germany,>50K
Self-emp-not-inc,10th,Divorced,Sales,Unmarried,White,Female,United-States,>50K
Private,Prof-school,Married-civ-spouse,Farming-fishing,Other-relative,Amer-Indian-Eskimo,Female,Holland-Netherlands,<=50K
State-gov,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,<=50K
Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,United-States,>50K
Self-emp-inc,Doctorate,Divorced,Sales,Wife,Asian-Pac-Islander,Female,Outlying-US(Guam-USVI-etc),<=50K
Without-pay,Preschool,Married-spouse-absent,Other-service,Other-relative,Amer-Indian-Eskimo,Male,Portugal,>50K
Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
Private,Some-college,Never-married,Craft-repair,Own-child,White,Female,United-States,<=50K
Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,Canada,>50K
Federal-gov,1st-4th,Divorced,Machine-op-inspct,Not-in-family,White,Female,Puerto-Rico,<=50K
Private,Assoc-acdm,Married-AF-spouse,Exec-managerial,Wife,Amer-Indian-Eskimo,Male,Hong,<=50K
State-gov,Bachelors,Separated,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Self-emp-not-inc,Doctorate,Married-AF-spouse,Exec-managerial,Husband,Black,Female,India,<=50K
Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
Without-pay,12th,Separated,Craft-repair,Other-relative,White,Male,El-Salvador,<=50K
Local-gov,Masters,Never-married,Sales,Husband,Asian-Pac-Islander,Male,United-States,>50K
State-gov,Doctorate,Divorced,Craft-repair,Husband,Amer-Indian-Eskimo,Male,France,>50K
Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
State-gov,12th,Separated,Farming-fishing,Not-in-family,Black,Male,Hong,<=50K
Private,10th,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Female,China,>50K
Self-emp-inc,7th-8th,Married-civ-spouse,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Female,Nicaragua,>50K
Self-emp-not-inc,7th-8th,Married-spouse-absent,Sales,Not-in-family,Black,Female,Canada,<=50K
Private,HS-grad,Never-married,Protective-serv,Wife,White,Male,Hungary,<=50K
Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K
Federal-gov,1st-4th,Never-married,Exec-managerial,Unmarried,Other,Female,Canada,>50K
Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
Federal-gov,1st-4th,Never-married,Sales,Own-child,Other,Male,Italy,<=50K
Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K
Without-pay,11th,Never-married,Craft-repair,Unmarried,Asian-Pac-Islander,Male,Yugoslavia,<=50K
Local-gov,HS-grad,Widowed,Transport-moving,Not-in-family,Other,Female,England,>50K
Without-pay,Prof-school,Married-spouse-absent,Adm-clerical,Wife,White,Female,South,>50K
State-gov,10th,Separated,Tech-support,Wife,White,Male,Germany,<=50K
Local-gov,12th,Separated,Armed-Forces,Wife,Asian-Pac-Islander,Female,Poland,>50K
